Proportion(%),Working_years(y),Parental_leave(%),Overtime_hours(h),Annual_leave(%),Management_proportion(%)
,,,,,
,3.2,,,,31.3
,,,,,
80,12,100,2,,0
,,,,,
27.2,19.1,100,7.9,66.1,8
,,,24,,10
71.7,,,8.8,54.6,
,2.9,,,,100
,,,,,
,,,,,
,6,,,,
,,,,,
,,,,,
,8,,,,
,,,0,,0
25.7,9.4,100,15.9,56,11
,,,,,
17.6,,,,48.5,25
,,,,,
,,,,,
100,2,,0,,
10.4,11.8,100,,68.3,0.9
,,,,,
18,4,,,,
,,,,,
,,,20,,0
0,0,,8.3,,0
,,,,,
,,,0,,
47.7,8.7,,,,
,,,,,
14,13.7,100,,,
,,,,,
,,,,,
,16.6,,4.8,59,0
,6,,,,12.5
,,,,,
,,,,,
,,,10.8,,50
,,,,,7
62.9,6.2,,3.1,,25
,,,,,
,,,,,
18,1.5,,19,,12.5
,,,,,
,4,,,,
29.7,19.4,,13.9,61.6,
,,,,,
,,,,,10.9
40,11,,,,
,,,1,,
,,,,,0
33,3.6,0,5,67,0
,,,,,
5.6,10.4,,14.1,,9.8
,,100,,,5.8
33.3,8.9,,14.6,75,33.3
,10.6,,,,57.4
,,,,,
36.6,9.8,100,12.5,68.4,6
48,,,,,
33.3,5.3,0,1.7,64,0
18.6,10.6,100,8.9,73.4,3.7
27,14,100,13,64.1,10
,,,19,,37.5
25,13,100,14.1,37.4,7
,,,,,
,,,,58,4.9
,,,,,
73.3,,,15.3,,52.9
9.5,23.9,,,,
,,,45,,
61.4,,100,6.3,73,18.2
20,,,,,20
,,,,,
,,,,,
17.4,8.6,,43.1,65.4,11.1
17.2,,,,,22.2
,,,,,
,,,,,7.7
,3,,,,
,,,,,
12.4,7.1,100,35,8,15.7
,,,,,
,,,,,
,,,,,
16.2,6.8,,,,
58,,,6,,50
,,,,,
30,,,10,60,11
7.2,,,,66.1,
30.8,16.7,100,6.8,47.7,20
9,9,100,9.1,,8.2
,,,,,
,,,,,
35,8.6,100,,56,20
,10.4,,28,58.1,2.6
,,,1.8,,
16,11.8,,,,3
11.8,12.8,100,18.7,65.8,0
,,,36.5,,
,,,,,
,,,,,
,,,,,
,,,4,,26.9
23.4,8.4,100,27,40.7,9.2
,,,,,
,16,,9,,6.6
,,,,,
43,9.7,,,,8.6
24.1,19,100,,,
,,,,,0
,5.4,0,25,,5.6
,,,21.1,74,100
,,,3,51.5,
,,,,,
,,,,,
12.3,10.5,100,10.8,72.3,4.5
,,,,,
13.2,4.4,,28.1,,5.4
,5,100,17.5,36,10
,,,,,
0,,,,,0
75,,,16.7,,0
17,7,,11.5,44,0
,,,,,
,,,,,
,,,,,
7,2.8,,,,12.5
,,,,,
57,,,,,
19.5,14,,,,1.6
33.5,14.4,100,,,9.9
,,,,,
36.8,9.8,100,4.9,54.6,6.3
55,7.8,100,10.7,,22.6
,,,,,
7,12.9,94,11.9,66.3,2.6
9.7,8,100,15.3,71.8,4.7
,,,,,
27,8.4,100,14,42,10
51.3,6.7,60,16,64.7,12.8
21,4.8,,,,0
,,,,,0
18.1,,100,6.2,77.8,5.7
0,0,,40,50,0
16,,100,7.7,52.3,5.5
100,,,10,,100
50,4,100,25,100,0
16,,,,,0
,,,,,
,,,12,,
,,,,,
,12.9,,6.4,54,0
66.7,,,,,
25,,,0,,
,,,,,
,,,,,
,,,,,
33,3,100,0,100,0
,,,,,
0,,,,,
,,,,,
,,,,,
58.3,,100,,,
29.4,,100,,,
,,,20,,
15,12,,,94.9,
,,,,,
0,0,0,0,,0
5,1,100,10,50,0
,,,,,
,,,,,
,14.3,,,,22.2
28.8,,0,,,
,,,,,
,,100,,78.7,
,,,,65.9,
16.6,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
7.7,,,,,
53.2,14.4,,17.5,,4.8
100,,,0,,
,,,,,
33.3,,,0,,0
,6.2,100,6.6,67,83
,,,,,
,,,,,11.1
72.4,8,100,,,51.8
,,,,,
59.3,11.2,83.3,4.4,50.9,29.4
,,,,,
2.4,0,,,,0
,,,,,
94,8,100,,65,63
,,,,,
8,,,,,
,13.2,,,,4.9
,,,,,
,,,,,20
,,,,,
,,,,,
,,,,,
,20,,21,,36
12.5,,,24.2,,1.5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
100,0,,0,,0
,,,,,
,,,,,
,,,,,
,,,,,0
,,,,,
11.9,5,,,,27.4
18.1,18.6,100,,,2.3
14.7,11.9,100,,78.4,
,,,22,,0
,,,1.5,,100
,,,,69,37.8
26,,,15,50,0
9.1,,,,77.4,
,,,,,
,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
11,,,12,60,1
,,,,,
40.3,3.5,,8.1,57,22.2
,,,,,
20,,,21.8,,
24,,100,28,15,
,8,,11,,11.8
,,,,,
16.4,11.6,89.5,4.5,,5.4
19.3,6.9,,17.7,,0.6
,3.5,,12,,0
,10.4,,,,13.3
,,,,,
59.9,5.6,100,11.2,,7.4
,,,,,
,,,,,
,,,,,
,,,,,16.7
,5.4,,,,32
24.9,10.7,100,,70.4,7.1
,,,,,
,,,9,,0
,,,,,
,,,,,
,,,,,
0,0,,27.8,,0
,,100,,,3.6
96.1,3.8,100,4.5,41.7,80.7
,,,,,
55.6,8.5,100,12,,20.5
20.8,4.8,,,,
,,,,,
,,,,,50
,8.8,,,,20
50,,,,,
64.1,2.1,,0.5,,14
0,,,,,
,,,,,
,,,,,
,11.6,,,,
,,,,,12.5
,,,,,
,,,,,
,,,7.1,,10.3
,,,,,
